amp1,x01,w1,y0
15.0,499.34,15.44,0.13
5.0,497.35,18.76,0.09
4.53,495.48,19.01,-0.13
7.36,498.26,19.58,-0.09
11.36,500.02,19.75,0.03
12.85,499.72,19.86,0.03
13.77,498.26,18.9,-0.18
12.81,496.75,16.56,0.01
11.76,498.13,16.43,0.05
15.26,498.44,16.88,-0.18
22.98,496.71,15.44,-0.02
15.47,496.79,15.62,0.01
6.07,495.38,17.96,-0.14
2.36,493.05,19.52,-0.27
2.37,491.4,20.55,-0.17
6.38,494.21,15.78,-0.14
12.82,494.79,15.35,-0.06
13.87,495.57,15.62,-0.12
11.75,496.48,16.56,-0.07
8.2,496.87,18.56,-0.09
5.2,493.34,18.29,0.06
5.69,491.26,16.11,0.2
7.66,493.43,15.14,-0.29
6.11,493.31,15.34,-0.2
3.76,490.66,14.92,-0.13
5.35,492.25,16.78,-0.04
10.74,494.22,15.66,-0.13
10.63,495.93,18.25,0.09
11.9,496.3,17.96,0.08
12.22,495.65,17.81,0.18
11.79,496.85,17.49,0.04
13.55,496.15,16.21,0.02
15.09,496.08,15.96,0.06
14.51,496.25,17.31,-0.11
12.11,499.1,18.82,0.02
7.83,496.6,19.19,-0.28
5.76,491.61,16.49,-0.13
9.94,492.27,14.66,0.03
14.26,494.43,15.11,0.06
17.24,494.54,13.69,-0.04
11.07,493.3,13.1,-0.04
4.66,491.43,15.15,-0.12
5.45,496.36,18.97,0.07
8.13,495.8,16.87,-0.09
10.88,494.45,15.2,0.15
12.28,492.44,12.99,-0.02
7.59,491.36,13.65,-0.01
4.87,493.65,16.52,-0.07
8.26,495.85,15.66,0.05
11.04,497.67,16.82,0.0
8.17,496.72,17.87,-0.04
6.96,495.39,18.74,-0.09
8.4,491.52,14.78,-0.11
9.83,491.67,14.13,0.09
14.16,493.22,14.49,0.02
14.75,493.37,14.75,0.12
12.19,494.39,16.02,-0.05
10.47,495.66,16.54,0.02
9.9,495.36,15.93,-0.15
10.02,494.73,15.95,0.08
8.49,494.3,15.86,-0.18
11.88,493.93,14.48,0.02
16.66,494.55,14.43,0.24
17.63,496.73,15.49,-0.05
18.07,497.19,15.63,-0.09
17.07,496.07,15.81,-0.06
14.35,495.65,16.53,0.02
12.74,495.89,16.12,-0.26
11.65,495.13,16.33,-0.12
13.34,495.68,16.42,0.14
18.16,494.99,15.76,0.0
21.7,495.01,15.08,0.05
20.72,494.36,14.2,0.1
22.96,494.14,12.42,0.16
19.31,494.53,13.23,0.0
9.93,495.84,14.86,0.05
7.61,496.45,16.93,0.16
9.08,495.69,15.44,-0.11
14.43,493.41,12.55,0.08
14.88,494.09,14.51,-0.05
10.6,495.36,17.54,-0.12
7.66,495.28,18.68,-0.42
6.08,492.53,15.24,-0.0
6.18,492.18,16.67,0.03
9.34,490.22,14.35,-0.01
12.67,488.34,12.93,0.09
14.2,492.24,14.96,-0.01
19.17,497.78,16.98,0.03
24.39,498.78,16.24,-0.01
23.21,500.63,16.39,-0.16
20.97,499.02,15.0,-0.1
19.1,497.32,15.24,-0.14
16.5,495.83,15.23,0.19
10.05,499.06,18.88,0.02
8.6,500.2,19.96,-0.23
7.24,497.98,20.11,-0.24
7.28,497.92,16.99,-0.18
6.0,497.42,15.77,-0.04
3.18,494.18,16.95,0.0
3.05,488.05,14.84,-0.1
15.18,499.5,16.74,0.31
8.84,494.96,16.16,-0.13
10.3,495.47,17.58,-0.08
12.7,497.34,16.85,-0.01
14.43,495.94,17.2,-0.3
17.91,494.75,16.15,-0.11
16.29,495.04,16.98,0.11
13.56,498.9,16.73,0.07
16.45,500.59,16.29,-0.34
19.03,499.06,16.7,-0.21
22.08,494.48,14.71,-0.07
15.59,494.5,16.01,0.14
7.8,495.04,16.77,-0.04
4.63,491.94,18.81,0.02
4.97,492.67,15.12,-0.15
9.93,493.44,15.16,0.13
14.82,495.57,16.26,0.01
16.21,496.39,15.49,0.13
17.31,496.17,15.08,-0.01
11.76,496.33,17.07,0.13
6.12,493.47,18.41,-0.06
7.96,492.03,15.7,-0.09
10.41,495.12,16.96,0.2
9.78,496.76,16.14,0.13
5.56,494.27,15.57,-0.13
4.46,492.44,14.41,-0.16
7.24,494.12,16.8,0.02
7.73,495.38,18.73,-0.13
9.42,492.49,15.43,0.02
11.56,495.11,16.68,0.03
12.98,494.63,16.78,0.13
13.59,495.34,15.97,-0.07
14.29,497.21,16.14,-0.03
15.9,497.62,17.45,0.15
12.74,497.93,18.62,-0.27
8.23,492.07,17.16,-0.11
6.36,491.32,16.13,0.14
8.83,493.43,16.2,-0.13
15.34,494.33,13.55,-0.13
16.3,495.46,14.18,-0.14
8.81,492.5,14.95,-0.11
4.46,492.72,17.86,0.12
6.05,495.48,17.35,-0.1
7.91,497.41,19.03,0.25
8.72,496.65,16.92,0.02
6.93,493.53,13.9,0.07
5.26,491.49,14.8,-0.39
6.98,494.18,16.12,-0.18
11.36,496.76,16.36,0.11
16.27,499.07,16.96,-0.02
15.68,498.55,17.66,-0.01
12.04,494.87,16.77,-0.13
11.16,492.56,16.12,-0.3
10.31,493.86,16.05,-0.13
10.3,492.43,15.91,0.23
7.91,491.79,15.44,-0.11
7.3,492.29,15.73,0.13
9.03,493.59,15.19,-0.02
11.84,495.81,16.41,-0.06
12.28,494.66,14.58,0.13
7.64,494.15,16.36,-0.01
8.53,494.87,16.27,-0.1
14.03,494.01,15.2,-0.04
18.95,496.06,15.58,-0.04
21.54,496.69,15.57,0.18
15.67,495.6,15.78,0.17
12.99,494.29,15.45,-0.08
12.42,494.2,16.01,0.29
15.36,494.68,15.79,0.26
16.48,496.08,16.1,-0.18
17.79,497.98,17.01,0.05
19.61,495.2,15.76,-0.12
21.75,495.23,14.72,-0.09
20.9,495.74,14.88,0.05
19.41,495.77,15.34,0.08
9.57,494.11,15.71,0.07
4.05,494.6,21.29,0.17
6.08,495.19,18.37,-0.27
7.84,494.31,17.63,-0.05
9.33,494.47,16.76,0.03
7.9,494.78,18.02,-0.09
4.62,496.41,19.64,-0.39
3.73,491.84,19.87,0.08
7.84,491.32,14.16,0.0
15.83,490.02,12.62,0.05
17.67,489.64,12.79,-0.09
14.02,494.27,16.24,0.13
17.94,500.09,18.11,0.1
25.79,499.74,15.72,0.18
31.81,501.0,14.11,0.01
27.36,499.84,13.74,0.25
20.85,496.67,14.75,-0.16
11.82,492.06,13.77,-0.12
4.81,495.49,17.58,0.15
6.12,496.9,18.39,0.09
7.49,494.28,17.06,-0.01
7.14,494.98,16.29,-0.05
5.32,494.82,16.35,0.01
4.83,495.46,16.78,-0.05
6.1,491.43,13.95,-0.21
11.68,495.21,17.11,-0.21
14.83,493.34,14.76,-0.07
17.49,495.13,15.41,0.17
15.48,496.15,16.62,-0.04
15.35,496.35,17.48,0.05
22.02,495.64,16.92,-0.02
21.01,496.91,16.68,-0.1
12.49,497.49,16.25,0.09
11.43,499.71,15.72,0.09
14.57,496.48,16.18,-0.04
20.51,494.81,14.66,0.06
18.87,496.06,16.27,0.12
13.82,498.17,17.78,-0.11
8.96,497.88,18.06,-0.18
7.0,494.03,15.77,-0.03
9.5,493.96,16.02,0.02
12.27,495.01,15.76,0.08
13.22,496.3,16.42,-0.03
14.37,495.29,15.83,0.1
9.02,491.7,13.9,-0.15
6.25,494.39,17.12,-0.12
8.81,494.14,15.51,-0.13
8.89,497.07,16.57,0.0
7.91,498.67,17.49,-0.09
4.44,496.34,16.26,-0.27
3.02,493.39,19.72,-0.22
4.1,492.94,17.98,-0.1
4.86,492.99,17.04,-0.06
7.85,491.83,14.94,-0.28
15.49,492.86,14.22,0.0
22.26,494.52,14.69,-0.14
23.68,496.57,14.72,-0.06
20.48,497.58,15.47,0.04
18.08,498.11,16.69,-0.19
11.34,495.67,18.04,-0.11
7.26,490.2,16.45,-0.31
5.97,491.38,16.29,0.09
7.69,494.87,16.29,-0.08
13.07,495.01,15.27,0.02
13.95,496.06,15.78,-0.2
8.27,494.95,16.99,-0.05
8.15,494.48,18.03,0.04
10.38,497.56,18.25,-0.15
10.97,498.17,16.88,-0.26
8.81,495.4,16.48,-0.19
6.79,493.14,15.58,0.1
9.14,495.06,14.68,-0.11
11.9,495.26,16.43,0.06
15.26,496.84,17.1,0.21
20.47,498.99,16.21,0.05
18.86,498.04,16.22,0.23
14.01,496.22,17.03,0.11
12.32,493.81,18.02,0.11
13.32,493.14,16.69,0.04
9.31,493.5,17.09,-0.07
4.33,491.66,16.48,-0.12
6.18,492.98,14.54,-0.01
9.27,496.69,17.78,-0.01
15.65,498.8,17.02,-0.06
14.14,498.69,16.97,0.01
7.44,496.72,17.51,0.05
7.58,496.96,18.52,-0.08
12.86,494.21,15.06,-0.27
17.52,495.41,15.24,0.12
16.24,496.15,15.39,-0.27
11.97,493.43,15.56,-0.03
13.23,493.45,14.99,0.07
12.21,492.49,14.39,-0.05
12.61,493.79,15.64,0.05
12.77,497.54,17.22,0.16
14.38,497.83,16.65,0.11
15.21,495.74,16.41,0.05
17.59,495.25,16.1,-0.03
20.57,494.72,15.76,-0.25
18.95,493.53,15.08,-0.09
8.3,490.54,14.58,-0.16
3.21,494.83,20.43,-0.02
5.44,496.33,17.64,-0.15
6.96,495.84,18.29,0.04
6.99,497.17,20.34,-0.28
5.89,495.43,20.17,-0.07
4.2,493.54,17.06,0.21
5.25,492.46,17.27,-0.13
9.31,493.39,15.36,-0.06
14.46,492.38,14.33,0.27
15.7,493.19,14.53,0.12
14.82,496.49,17.27,0.12
15.2,498.51,17.32,-0.19
16.86,498.38,16.18,0.07
20.96,500.63,14.85,0.22
21.78,499.63,13.6,-0.02
14.23,497.32,14.32,0.14
6.62,490.89,13.7,0.09
3.98,494.16,19.1,0.05
7.52,495.23,17.73,-0.03
10.18,494.24,16.69,0.2
8.84,492.08,15.91,-0.1
6.84,493.04,16.73,0.04
10.47,495.07,15.61,-0.19
12.27,494.11,15.51,0.08
12.24,492.83,15.99,-0.05
21.8,493.21,14.08,0.16
22.03,494.62,14.6,0.09
12.78,495.56,16.05,0.19
11.93,495.39,17.53,0.02
20.02,495.31,16.93,-0.03
19.36,495.18,15.43,0.07
9.11,493.26,15.54,0.11
9.3,495.88,16.61,-0.02
13.66,496.04,15.71,-0.05
20.0,498.96,16.11,-0.13
23.38,501.16,17.39,-0.06
16.77,501.75,17.78,-0.22
10.89,499.63,17.76,-0.24
10.27,494.85,15.22,-0.01
11.09,494.34,14.93,-0.07
11.6,496.77,17.18,0.08
9.69,500.23,20.39,0.2
7.42,497.88,19.06,0.02
4.77,492.65,15.7,-0.18
6.44,495.44,16.67,-0.09
8.05,495.02,14.97,0.19
5.25,495.93,16.06,0.06
2.7,494.88,25.52,-0.02
3.47,494.69,17.67,0.05
5.98,494.4,18.0,0.15
10.0,494.45,15.71,0.01
9.08,493.71,14.76,0.18
10.49,494.24,16.78,0.1
16.42,493.88,15.68,-0.28
20.89,493.53,15.02,0.17
23.41,494.61,14.14,0.17
18.1,495.19,14.68,-0.13
12.03,494.77,15.98,0.07
6.24,493.79,17.56,-0.05
5.5,493.48,18.28,-0.13
6.98,495.61,17.7,0.13
7.73,496.79,16.15,-0.03
8.62,495.2,15.67,-0.08
11.27,493.96,15.78,0.09
11.72,492.41,16.91,0.11
15.11,493.66,16.61,0.08
17.53,496.01,16.69,-0.09
16.2,496.1,15.54,0.09
13.47,494.34,15.05,0.08
9.41,492.36,16.08,-0.14
8.99,495.35,17.53,-0.04
11.92,496.75,16.68,0.01
16.36,497.24,15.95,-0.16
21.02,498.29,15.08,-0.17
19.94,497.53,15.5,0.06
15.68,499.65,20.04,-0.11
15.23,496.2,20.37,0.09
16.61,494.29,18.0,-0.0
11.89,493.93,16.39,0.02
6.78,492.58,15.25,-0.07
6.8,494.21,15.71,-0.02
11.47,496.47,15.65,-0.04
18.55,499.32,16.34,-0.2
14.12,498.85,16.65,-0.14
7.1,496.5,18.7,0.16
7.63,494.96,17.97,-0.17
10.07,494.29,15.64,-0.02
11.81,494.59,15.55,0.09
11.78,495.07,15.95,0.12
13.6,494.02,14.3,0.16
14.23,494.95,15.49,-0.05
10.68,493.9,14.59,-0.26
9.39,493.26,14.46,-0.17
9.81,494.73,15.58,0.02
11.48,495.6,15.71,0.02
11.62,494.83,16.1,-0.04
12.48,493.18,16.88,-0.12
18.88,491.73,15.01,0.05
17.02,490.05,13.78,-0.01
6.15,487.34,13.03,0.12
2.65,491.43,21.75,0.08
5.39,495.87,18.76,-0.24
6.57,497.38,19.66,-0.23
6.58,496.96,17.25,-0.19
6.24,497.82,18.55,-0.04
5.17,494.54,20.5,0.06
6.75,491.0,15.78,0.09
10.31,493.64,14.71,-0.1
11.71,494.8,16.39,0.09
13.62,494.7,15.11,0.15
13.13,496.16,16.65,0.13
11.76,495.9,16.04,0.04
9.92,495.24,16.92,0.12
11.95,500.22,17.89,-0.21
12.81,499.47,17.78,-0.09
8.93,497.59,17.54,-0.04
6.11,495.48,16.78,0.18
10.23,497.05,15.69,0.15
13.72,497.5,17.13,0.06
