amp1,x01,w1,y0
10.91,498.36,16.58,0.1
8.71,496.73,17.89,-0.08
14.01,497.15,18.07,-0.08
14.04,497.14,17.38,0.0
15.58,499.15,16.65,-0.17
18.96,495.66,15.46,0.01
5.2,494.22,17.88,-0.11
5.89,493.29,15.87,-0.08
14.42,495.63,15.7,-0.01
12.23,496.42,16.5,-0.01
6.24,492.48,16.94,0.03
8.45,494.91,16.08,-0.04
4.77,492.58,15.47,-0.11
9.06,494.92,17.32,-0.04
11.24,494.98,17.07,0.08
12.94,495.73,16.65,0.03
14.91,496.8,16.77,0.02
10.1,496.97,18.83,-0.16
7.7,492.32,15.8,-0.02
15.77,494.69,14.11,-0.06
7.2,492.71,14.78,-0.04
6.88,496.27,17.97,0.03
9.63,494.09,14.72,0.06
6.15,492.56,15.18,-0.16
11.69,497.62,16.62,0.04
10.63,496.69,17.84,-0.07
9.89,492.47,15.4,-0.11
11.77,492.88,15.05,0.07
9.71,494.16,15.97,0.02
10.99,495.13,15.71,-0.0
9.14,494.27,15.57,-0.07
16.77,495.44,15.24,0.03
18.07,496.44,15.71,0.05
13.1,495.04,16.07,-0.01
14.2,495.41,16.14,0.03
19.25,495.73,15.91,-0.0
21.51,494.86,14.07,0.06
14.49,495.11,14.68,0.05
6.68,495.61,17.34,-0.01
11.57,493.91,14.84,0.01
7.68,495.38,18.33,-0.26
5.91,492.12,16.11,0.03
13.84,489.57,13.08,0.01
15.99,496.6,17.16,0.06
26.15,500.13,15.6,0.0
21.9,498.37,14.75,-0.04
10.67,495.41,16.02,0.06
7.32,497.39,19.0,-0.1
6.41,496.38,16.45,-0.06
4.23,492.53,15.64,-0.09
15.07,493.58,15.28,-0.04
16.92,495.28,15.56,0.11
17.32,495.66,17.16,0.01
15.4,495.99,16.17,0.04
12.15,497.04,16.18,-0.01
20.41,497.91,16.38,-0.0
12.55,499.65,17.92,-0.19
9.46,494.33,15.45,-0.02
11.64,496.82,17.26,0.09
8.76,494.59,16.25,-0.06
7.38,494.71,15.97,-0.04
6.15,497.16,17.6,-0.01
4.2,494.81,17.93,-0.07
7.0,493.71,15.91,0.01
12.52,493.33,15.4,-0.11
22.47,494.87,14.71,0.03
17.09,496.59,15.73,-0.05
7.5,493.68,17.88,-0.15
7.03,494.92,16.78,0.03
11.71,495.11,15.64,-0.04
10.79,493.73,17.06,0.04
13.75,496.72,16.68,-0.1
9.59,493.89,15.77,-0.03
10.46,495.63,16.38,-0.02
18.24,497.95,16.04,-0.02
17.08,497.77,16.99,0.08
14.34,494.37,18.31,0.06
8.06,493.21,16.41,-0.06
8.4,495.39,16.02,-0.02
15.62,498.94,16.72,-0.1
7.44,496.26,18.15,-0.01
13.05,494.72,15.37,-0.02
13.35,494.77,15.32,-0.01
12.55,493.75,14.96,-0.07
11.04,495.0,16.02,0.01
13.14,496.08,16.29,0.04
17.28,493.81,15.96,-0.09
